时间,主队,客队,主队得分,客队得分,上半场主队得分,上半场客队得分,让分,总分盘
2018-01-07 10:00,新西兰破坏者,坎斯大班,82,69,47,37,6.5,163.5
2018-01-07 12:00,布里斯班子弹,阿德莱德36人,84,95,44,41,,181
2018-01-11 16:30,阿德莱德36人,坎斯大班,100,90,54,46,6.5,168.5
2018-01-12 18:30,珀斯野猫,墨尔本猛虎,80,82,40,43,4.5,161.5
2018-01-13 14:30,悉尼国王,阿德莱德36人,101,104,58,52,-4,183.5
2018-01-13 16:30,伊拉瓦拉老鹰,新西兰破坏者,90,79,46,44,2,178.5
2018-01-14 12:00,布里斯班子弹,珀斯野猫,80,81,47,32,-3.5,162
2018-01-18 14:30,新西兰破坏者,墨尔本猛虎,98,81,60,41,3.5,168.5
2018-01-19 16:30,阿德莱德36人,伊拉瓦拉老鹰,112,90,64,45,5.5,189
2018-01-19 18:30,珀斯野猫,悉尼国王,77,84,27,39,10.5,166.5
2018-01-20 14:30,布里斯班子弹,墨尔本猛虎,95,103,48,47,-2,165.5
2018-01-20 16:30,坎斯大班,新西兰破坏者,81,71,41,37,1.5,159.5
2018-01-21 12:00,悉尼国王,珀斯野猫,84,56,43,35,-5,166.5
2018-01-21 14:00,伊拉瓦拉老鹰,阿德莱德36人,93,112,49,66,2,190
2018-01-24 16:30,墨尔本猛虎,坎斯大班,79,68,35,25,8.5,160.5
2018-01-27 14:30,布里斯班子弹,阿德莱德36人,95,90,42,47,-3.5,184.5
2018-01-27 17:30,珀斯野猫,新西兰破坏者,90,73,48,43,6,161.5
2018-01-28 12:00,悉尼国王,墨尔本猛虎,76,93,35,43,-3,169.5
2018-01-28 14:00,伊拉瓦拉老鹰,坎斯大班,88,78,47,32,5.5,170
